Date,Away,Home,Attendance,Type
2021-08-05,Kansas City Royals,Chicago White Sox,23589,R
2021-08-05,New York Mets,Miami Marlins,9745,R
2021-08-05,Seattle Mariners,New York Yankees,33211,R
2021-08-05,San Francisco Giants,Arizona Diamondbacks,8773,R
2021-08-05,Pittsburgh Pirates,Cincinnati Reds,19393,R
2021-08-05,Chicago Cubs,Colorado Rockies,30462,R
2021-08-05,Boston Red Sox,Detroit Tigers,19144,R
2021-08-05,Minnesota Twins,Houston Astros,26208,R
2021-08-05,Philadelphia Phillies,Washington Nationals,22575,R
2021-08-06,Texas Rangers,Oakland Athletics,9022,R
2021-08-06,Arizona Diamondbacks,San Diego Padres,34038,R
2021-08-06,Kansas City Royals,St. Louis Cardinals,29090,R
2021-08-06,Boston Red Sox,Toronto Blue Jays,14719,R
2021-08-06,New York Mets,Philadelphia Phillies,30106,R
2021-08-06,Washington Nationals,Atlanta Braves,34454,R
2021-08-06,Seattle Mariners,New York Yankees,43180,R
2021-08-06,San Francisco Giants,Milwaukee Brewers,33250,R
2021-08-06,Tampa Bay Rays,Baltimore Orioles,11320,R
2021-08-06,Chicago White Sox,Chicago Cubs,39539,R
2021-08-06,Pittsburgh Pirates,Cincinnati Reds,27804,R
2021-08-06,Detroit Tigers,Cleveland Indians,24485,R
2021-08-06,Miami Marlins,Colorado Rockies,28281,R
2021-08-06,Minnesota Twins,Houston Astros,29631,R
2021-08-06,Los Angeles Angels,Los Angeles Dodgers,50822,R
2021-08-07,Texas Rangers,Oakland Athletics,10082,R
2021-08-07,Arizona Diamondbacks,San Diego Padres,39134,R
2021-08-07,Kansas City Royals,St. Louis Cardinals,36615,R
2021-08-07,Boston Red Sox,Toronto Blue Jays,14768,R
2021-08-07,New York Mets,Philadelphia Phillies,37057,R
2021-08-07,Washington Nationals,Atlanta Braves,38300,R
2021-08-07,Seattle Mariners,New York Yankees,35165,R
2021-08-07,San Francisco Giants,Milwaukee Brewers,34155,R
2021-08-07,Tampa Bay Rays,Baltimore Orioles,18545,R
2021-08-07,Chicago White Sox,Chicago Cubs,40077,R
2021-08-07,Pittsburgh Pirates,Cincinnati Reds,31297,R
2021-08-07,Detroit Tigers,Cleveland Indians,24560,R
2021-08-07,Miami Marlins,Colorado Rockies,39896,R
2021-08-07,Minnesota Twins,Houston Astros,29647,R
2021-08-07,Los Angeles Angels,Los Angeles Dodgers,50808,R
2021-08-08,Texas Rangers,Oakland Athletics,9548,R
2021-08-08,Arizona Diamondbacks,San Diego Padres,30989,R
2021-08-08,Kansas City Royals,St. Louis Cardinals,31943,R
2021-08-08,Boston Red Sox,Toronto Blue Jays,14766,R
2021-08-08,New York Mets,Philadelphia Phillies,39186,R
2021-08-08,Washington Nationals,Atlanta Braves,29101,R
2021-08-08,Seattle Mariners,New York Yankees,35437,R
2021-08-08,San Francisco Giants,Milwaukee Brewers,38597,R
2021-08-08,Tampa Bay Rays,Baltimore Orioles,10576,R
2021-08-08,Chicago White Sox,Chicago Cubs,39412,R
2021-08-08,Pittsburgh Pirates,Cincinnati Reds,23740,R
2021-08-08,Detroit Tigers,Cleveland Indians,19899,R
2021-08-08,Miami Marlins,Colorado Rockies,34677,R
2021-08-08,Minnesota Twins,Houston Astros,26825,R
2021-08-08,Los Angeles Angels,Los Angeles Dodgers,46982,R
2021-08-09,Miami Marlins,San Diego Padres,26841,R
2021-08-09,Chicago White Sox,Minnesota Twins,17858,R
2021-08-09,Cincinnati Reds,Cleveland Indians,10708,R
2021-08-09,New York Yankees,Kansas City Royals,18477,R
2021-08-10,St. Louis Cardinals,Pittsburgh Pirates,10056,R
2021-08-10,Miami Marlins,San Diego Padres,32060,R
2021-08-10,Texas Rangers,Seattle Mariners,15412,R
2021-08-10,Arizona Diamondbacks,San Francisco Giants,23802,R
2021-08-10,Chicago White Sox,Minnesota Twins,18302,R
2021-08-10,Los Angeles Dodgers,Philadelphia Phillies,28333,R
2021-08-10,Cincinnati Reds,Atlanta Braves,24432,R
2021-08-10,Toronto Blue Jays,Los Angeles Angels,14443,R
2021-08-10,Detroit Tigers,Baltimore Orioles,7124,R
2021-08-10,Tampa Bay Rays,Boston Red Sox,28356,R
2021-08-10,Milwaukee Brewers,Chicago Cubs,29031,R
2021-08-10,Oakland Athletics,Cleveland Indians,13041,R
2021-08-10,Colorado Rockies,Houston Astros,28931,R
2021-08-10,New York Yankees,Kansas City Royals,18218,R
2021-08-10,Washington Nationals,New York Mets,27261,R
2021-08-11,St. Louis Cardinals,Pittsburgh Pirates,8548,R
2021-08-11,Miami Marlins,San Diego Padres,29753,R
2021-08-11,Texas Rangers,Seattle Mariners,15789,R
2021-08-11,Arizona Diamondbacks,San Francisco Giants,20037,R
2021-08-11,Chicago White Sox,Minnesota Twins,22370,R
2021-08-11,Los Angeles Dodgers,Philadelphia Phillies,32186,R
2021-08-11,Cincinnati Reds,Atlanta Braves,23375,R
2021-08-11,Toronto Blue Jays,Los Angeles Angels,22620,R
2021-08-11,Detroit Tigers,Baltimore Orioles,8990,R
2021-08-11,Tampa Bay Rays,Boston Red Sox,30286,R
2021-08-11,Milwaukee Brewers,Chicago Cubs,29619,R
2021-08-11,Oakland Athletics,Cleveland Indians,13560,R
2021-08-11,Colorado Rockies,Houston Astros,22200,R
2021-08-11,New York Yankees,Kansas City Royals,13748,R
2021-08-12,St. Louis Cardinals,Pittsburgh Pirates,8676,R
2021-08-12,Texas Rangers,Seattle Mariners,14031,R
2021-08-12,Colorado Rockies,San Francisco Giants,24295,R
2021-08-12,Los Angeles Dodgers,Philadelphia Phillies,26122,R
2021-08-12,Cincinnati Reds,Atlanta Braves,23995,R
2021-08-12,New York Yankees,Chicago White Sox,7832,R
2021-08-12,Toronto Blue Jays,Los Angeles Angels,19590,R
2021-08-12,San Diego Padres,Arizona Diamondbacks,9086,R
2021-08-12,Detroit Tigers,Baltimore Orioles,8382,R
2021-08-12,Tampa Bay Rays,Boston Red Sox,26803,R
2021-08-12,Milwaukee Brewers,Chicago Cubs,32502,R
2021-08-12,Oakland Athletics,Cleveland Indians,16559,R
2021-08-12,Washington Nationals,New York Mets,25870,R
2021-08-13,Toronto Blue Jays,Seattle Mariners,28207,R
2021-08-13,Colorado Rockies,San Francisco Giants,36126,R
2021-08-13,Oakland Athletics,Texas Rangers,26761,R
2021-08-13,Tampa Bay Rays,Minnesota Twins,23125,R
2021-08-13,Cincinnati Reds,Philadelphia Phillies,26074,R
2021-08-13,Chicago Cubs,Miami Marlins,11728,R
2021-08-13,Houston Astros,Los Angeles Angels,23981,R
2021-08-13,San Diego Padres,Arizona Diamondbacks,12866,R
2021-08-13,Baltimore Orioles,Boston Red Sox,28022,R
2021-08-13,Cleveland Indians,Detroit Tigers,22107,R
2021-08-13,St. Louis Cardinals,Kansas City Royals,30620,R
2021-08-13,Atlanta Braves,Washington Nationals,24812,R
2021-08-13,Los Angeles Dodgers,New York Mets,38395,R
2021-08-14,Milwaukee Brewers,Pittsburgh Pirates,24081,R
2021-08-14,Toronto Blue Jays,Seattle Mariners,26020,R
2021-08-14,Colorado Rockies,San Francisco Giants,32282,R
2021-08-14,Oakland Athletics,Texas Rangers,31904,R
2021-08-14,Tampa Bay Rays,Minnesota Twins,21034,R
2021-08-14,Cincinnati Reds,Philadelphia Phillies,25100,R
2021-08-14,New York Yankees,Chicago White Sox,38477,R
2021-08-14,Chicago Cubs,Miami Marlins,11225,R
2021-08-14,Houston Astros,Los Angeles Angels,27121,R
2021-08-14,San Diego Padres,Arizona Diamondbacks,16716,R
2021-08-14,Baltimore Orioles,Boston Red Sox,33118,R
2021-08-14,Cleveland Indians,Detroit Tigers,32845,R
2021-08-14,St. Louis Cardinals,Kansas City Royals,35784,R
2021-08-14,Atlanta Braves,Washington Nationals,27959,R
2021-08-14,Los Angeles Dodgers,New York Mets,38669,R
2021-08-15,Milwaukee Brewers,Pittsburgh Pirates,12001,R
2021-08-15,Toronto Blue Jays,Seattle Mariners,22679,R
2021-08-15,Colorado Rockies,San Francisco Giants,33337,R
2021-08-15,Oakland Athletics,Texas Rangers,24990,R
2021-08-15,Tampa Bay Rays,Minnesota Twins,22467,R
2021-08-15,Cincinnati Reds,Philadelphia Phillies,28544,R
2021-08-15,New York Yankees,Chicago White Sox,37696,R
2021-08-15,Chicago Cubs,Miami Marlins,10262,R
2021-08-15,Houston Astros,Los Angeles Angels,19281,R
2021-08-15,San Diego Padres,Arizona Diamondbacks,17722,R
2021-08-15,Baltimore Orioles,Boston Red Sox,28935,R
2021-08-15,Cleveland Indians,Detroit Tigers,25684,R
2021-08-15,St. Louis Cardinals,Kansas City Royals,18317,R
2021-08-15,Atlanta Braves,Washington Nationals,27488,R
2021-08-15,Los Angeles Dodgers,New York Mets,31205,R
2021-08-16,New York Mets,San Francisco Giants,23511,R
2021-08-16,Baltimore Orioles,Tampa Bay Rays,5460,R
2021-08-16,Cleveland Indians,Minnesota Twins,15622,R
2021-08-16,Oakland Athletics,Chicago White Sox,19410,R
2021-08-16,Atlanta Braves,Miami Marlins,6442,R
2021-08-16,Los Angeles Angels,New York Yankees,37010,R
2021-08-16,Chicago Cubs,Cincinnati Reds,15404,R
2021-08-16,San Diego Padres,Colorado Rockies,24565,R
2021-08-16,Houston Astros,Kansas City Royals,10228,R
2021-08-16,Pittsburgh Pirates,Los Angeles Dodgers,48005,R
2021-08-17,New York Mets,San Francisco Giants,23610,R
2021-08-17,Milwaukee Brewers,St. Louis Cardinals,28058,R
2021-08-17,Baltimore Orioles,Tampa Bay Rays,4795,R
2021-08-17,Seattle Mariners,Texas Rangers,15140,R
2021-08-17,Cleveland Indians,Minnesota Twins,19605,R
2021-08-17,Oakland Athletics,Chicago White Sox,21025,R
2021-08-17,Atlanta Braves,Miami Marlins,6079,R
2021-08-17,Boston Red Sox,New York Yankees,39078,R
2021-08-17,Philadelphia Phillies,Arizona Diamondbacks,7796,R
2021-08-17,Chicago Cubs,Cincinnati Reds,13989,R
2021-08-17,San Diego Padres,Colorado Rockies,28139,R
2021-08-17,Los Angeles Angels,Detroit Tigers,24714,R
2021-08-17,Houston Astros,Kansas City Royals,9748,R
2021-08-17,Pittsburgh Pirates,Los Angeles Dodgers,53114,R
2021-08-17,Toronto Blue Jays,Washington Nationals,20060,R
2021-08-18,New York Mets,San Francisco Giants,25360,R
2021-08-18,Milwaukee Brewers,St. Louis Cardinals,25938,R
2021-08-18,Baltimore Orioles,Tampa Bay Rays,6673,R
2021-08-18,Seattle Mariners,Texas Rangers,19119,R
2021-08-18,Cleveland Indians,Minnesota Twins,19949,R
2021-08-18,Oakland Athletics,Chicago White Sox,22780,R
2021-08-18,Atlanta Braves,Miami Marlins,6871,R
2021-08-18,Boston Red Sox,New York Yankees,39166,R
2021-08-18,Philadelphia Phillies,Arizona Diamondbacks,7968,R
2021-08-18,Chicago Cubs,Cincinnati Reds,16922,R
2021-08-18,San Diego Padres,Colorado Rockies,20692,R
2021-08-18,Los Angeles Angels,Detroit Tigers,27282,R
2021-08-18,Houston Astros,Kansas City Royals,12278,R
2021-08-18,Pittsburgh Pirates,Los Angeles Dodgers,52140,R
2021-08-18,Toronto Blue Jays,Washington Nationals,18336,R
2021-08-19,Milwaukee Brewers,St. Louis Cardinals,27545,R
2021-08-19,Baltimore Orioles,Tampa Bay Rays,5826,R
2021-08-19,Seattle Mariners,Texas Rangers,16391,R
2021-08-19,Oakland Athletics,Chicago White Sox,23853,R
2021-08-19,Minnesota Twins,New York Yankees,30019,R
2021-08-19,Philadelphia Phillies,Arizona Diamondbacks,7165,R
2021-08-19,Miami Marlins,Cincinnati Reds,11581,R
2021-08-19,Los Angeles Angels,Detroit Tigers,20847,R
2021-08-19,Houston Astros,Kansas City Royals,9884,R
2021-08-19,New York Mets,Los Angeles Dodgers,42133,R
2021-08-20,San Francisco Giants,Oakland Athletics,40133,R
2021-08-20,Philadelphia Phillies,San Diego Padres,40927,R
2021-08-20,Pittsburgh Pirates,St. Louis Cardinals,28406,R
2021-08-20,Chicago White Sox,Tampa Bay Rays,13178,R
2021-08-20,Detroit Tigers,Toronto Blue Jays,14649,R
2021-08-20,Minnesota Twins,New York Yankees,39124,R
2021-08-20,Washington Nationals,Milwaukee Brewers,27998,R
2021-08-20,Atlanta Braves,Baltimore Orioles,13583,R
2021-08-20,Texas Rangers,Boston Red Sox,30012,R
2021-08-20,Kansas City Royals,Chicago Cubs,31835,R
2021-08-20,Miami Marlins,Cincinnati Reds,19106,R
2021-08-20,Los Angeles Angels,Cleveland Indians,22755,R
2021-08-20,Arizona Diamondbacks,Colorado Rockies,30243,R
2021-08-20,Seattle Mariners,Houston Astros,26899,R
2021-08-20,New York Mets,Los Angeles Dodgers,48117,R
2021-08-21,San Francisco Giants,Oakland Athletics,36230,R
2021-08-21,Philadelphia Phillies,San Diego Padres,43383,R
2021-08-21,Pittsburgh Pirates,St. Louis Cardinals,30205,R
2021-08-21,Chicago White Sox,Tampa Bay Rays,22275,R
2021-08-21,Detroit Tigers,Toronto Blue Jays,14887,R
2021-08-21,Minnesota Twins,New York Yankees,35247,R
2021-08-21,Washington Nationals,Milwaukee Brewers,36938,R
2021-08-21,Atlanta Braves,Baltimore Orioles,15774,R
2021-08-21,Texas Rangers,Boston Red Sox,32495,R
2021-08-21,Kansas City Royals,Chicago Cubs,34005,R
2021-08-21,Miami Marlins,Cincinnati Reds,34433,R
2021-08-21,Los Angeles Angels,Cleveland Indians,31406,R
2021-08-21,Arizona Diamondbacks,Colorado Rockies,32699,R
2021-08-21,Seattle Mariners,Houston Astros,29908,R
2021-08-21,New York Mets,Los Angeles Dodgers,44783,R
2021-08-22,San Francisco Giants,Oakland Athletics,30345,R
2021-08-22,Philadelphia Phillies,San Diego Padres,38548,R
2021-08-22,Pittsburgh Pirates,St. Louis Cardinals,34431,R
2021-08-22,Chicago White Sox,Tampa Bay Rays,16696,R
2021-08-22,Detroit Tigers,Toronto Blue Jays,14865,R
2021-08-22,Washington Nationals,Milwaukee Brewers,33507,R
2021-08-22,Atlanta Braves,Baltimore Orioles,11180,R
2021-08-22,Kansas City Royals,Chicago Cubs,29640,R
2021-08-22,Miami Marlins,Cincinnati Reds,17797,R
2021-08-22,Los Angeles Angels,Cleveland Indians,1832,R
2021-08-22,Arizona Diamondbacks,Colorado Rockies,24552,R
2021-08-22,Seattle Mariners,Houston Astros,27526,R
2021-08-22,New York Mets,Los Angeles Dodgers,52749,R
2021-08-23,Seattle Mariners,Oakland Athletics,4140,R
2021-08-23,Arizona Diamondbacks,Pittsburgh Pirates,8596,R
2021-08-23,Chicago White Sox,Toronto Blue Jays,14640,R
2021-08-23,New York Yankees,Atlanta Braves,39176,R
2021-08-23,Texas Rangers,Boston Red Sox,27652,R
2021-08-23,Colorado Rockies,Chicago Cubs,25577,R
2021-08-23,Kansas City Royals,Houston Astros,18742,R
2021-08-24,Seattle Mariners,Oakland Athletics,4508,R
2021-08-24,Arizona Diamondbacks,Pittsburgh Pirates,8478,R
2021-08-24,Los Angeles Dodgers,San Diego Padres,41676,R
2021-08-24,Detroit Tigers,St. Louis Cardinals,28185,R
2021-08-24,Chicago White Sox,Toronto Blue Jays,14553,R
2021-08-24,Tampa Bay Rays,Philadelphia Phillies,23402,R
2021-08-24,New York Yankees,Atlanta Braves,37426,R
2021-08-24,Washington Nationals,Miami Marlins,5394,R
2021-08-24,Cincinnati Reds,Milwaukee Brewers,24819,R
2021-08-24,Los Angeles Angels,Baltimore Orioles,8781,R
2021-08-24,Minnesota Twins,Boston Red Sox,27986,R
2021-08-24,Texas Rangers,Cleveland Indians,11369,R
2021-08-24,Kansas City Royals,Houston Astros,22964,R
2021-08-24,San Francisco Giants,New York Mets,28558,R
2021-08-25,Arizona Diamondbacks,Pittsburgh Pirates,8357,R
2021-08-25,Los Angeles Dodgers,San Diego Padres,41765,R
2021-08-25,Detroit Tigers,St. Louis Cardinals,24304,R
2021-08-25,Chicago White Sox,Toronto Blue Jays,14276,R
2021-08-25,Tampa Bay Rays,Philadelphia Phillies,25552,R
2021-08-25,Washington Nationals,Miami Marlins,6237,R
2021-08-25,Cincinnati Reds,Milwaukee Brewers,24715,R
2021-08-25,Los Angeles Angels,Baltimore Orioles,15867,R
2021-08-25,Minnesota Twins,Boston Red Sox,28923,R
2021-08-25,Colorado Rockies,Chicago Cubs,24936,R
2021-08-25,Texas Rangers,Cleveland Indians,11398,R
2021-08-25,Kansas City Royals,Houston Astros,21052,R
2021-08-25,San Francisco Giants,New York Mets,24384,R
2021-08-26,New York Yankees,Oakland Athletics,8147,R
2021-08-26,St. Louis Cardinals,Pittsburgh Pirates,8618,R
2021-08-26,Los Angeles Dodgers,San Diego Padres,43383,R
2021-08-26,Kansas City Royals,Seattle Mariners,16882,R
2021-08-26,Chicago White Sox,Toronto Blue Jays,14958,R
2021-08-26,Arizona Diamondbacks,Philadelphia Phillies,20148,R
2021-08-26,Washington Nationals,Miami Marlins,5447,R
2021-08-26,Cincinnati Reds,Milwaukee Brewers,28656,R
2021-08-26,Los Angeles Angels,Baltimore Orioles,10211,R
2021-08-26,Minnesota Twins,Boston Red Sox,33746,R
2021-08-26,Texas Rangers,Cleveland Indians,10827,R
2021-08-26,San Francisco Giants,New York Mets,25000,R
2021-08-27,New York Yankees,Oakland Athletics,22463,R
2021-08-27,St. Louis Cardinals,Pittsburgh Pirates,12662,R
2021-08-27,Kansas City Royals,Seattle Mariners,22953,R
2021-08-27,Houston Astros,Texas Rangers,29286,R
2021-08-27,Milwaukee Brewers,Minnesota Twins,20280,R
2021-08-27,Arizona Diamondbacks,Philadelphia Phillies,23181,R
2021-08-27,San Francisco Giants,Atlanta Braves,35586,R
2021-08-27,Chicago Cubs,Chicago White Sox,37892,R
2021-08-27,Cincinnati Reds,Miami Marlins,7119,R
2021-08-27,San Diego Padres,Los Angeles Angels,25376,R
2021-08-27,Tampa Bay Rays,Baltimore Orioles,7155,R
2021-08-27,Boston Red Sox,Cleveland Indians,20881,R
2021-08-27,Toronto Blue Jays,Detroit Tigers,17259,R
2021-08-27,Colorado Rockies,Los Angeles Dodgers,40100,R
2021-08-27,Washington Nationals,New York Mets,20274,R
2021-08-28,New York Yankees,Oakland Athletics,18337,R
2021-08-28,St. Louis Cardinals,Pittsburgh Pirates,20043,R
2021-08-28,Kansas City Royals,Seattle Mariners,24575,R
2021-08-28,Houston Astros,Texas Rangers,37810,R
2021-08-28,Milwaukee Brewers,Minnesota Twins,29342,R
2021-08-28,Arizona Diamondbacks,Philadelphia Phillies,24692,R
2021-08-28,San Francisco Giants,Atlanta Braves,39558,R
2021-08-28,Chicago Cubs,Chicago White Sox,38668,R
2021-08-28,Cincinnati Reds,Miami Marlins,10407,R
2021-08-28,San Diego Padres,Los Angeles Angels,36176,R
2021-08-28,Tampa Bay Rays,Baltimore Orioles,11110,R
2021-08-28,Boston Red Sox,Cleveland Indians,26221,R
2021-08-28,Toronto Blue Jays,Detroit Tigers,18783,R
2021-08-28,Colorado Rockies,Los Angeles Dodgers,42479,R
2021-08-28,Washington Nationals,New York Mets,27870,R
2021-08-29,New York Yankees,Oakland Athletics,18468,R
2021-08-29,St. Louis Cardinals,Pittsburgh Pirates,10290,R
2021-08-29,Kansas City Royals,Seattle Mariners,20044,R
2021-08-29,Houston Astros,Texas Rangers,31062,R
2021-08-29,Milwaukee Brewers,Minnesota Twins,26186,R
2021-08-29,Arizona Diamondbacks,Philadelphia Phillies,22237,R
2021-08-29,San Francisco Giants,Atlanta Braves,28820,R
2021-08-29,Chicago Cubs,Chicago White Sox,38565,R
2021-08-29,Cincinnati Reds,Miami Marlins,11019,R
2021-08-29,Tampa Bay Rays,Baltimore Orioles,8353,R
2021-08-29,Boston Red Sox,Cleveland Indians,22883,R
2021-08-29,Toronto Blue Jays,Detroit Tigers,15956,R
2021-08-29,Colorado Rockies,Los Angeles Dodgers,37569,R
2021-08-29,Washington Nationals,New York Mets,24247,R
2021-08-30,Houston Astros,Seattle Mariners,11630,R
2021-08-30,Milwaukee Brewers,San Francisco Giants,23154,R
2021-08-30,Boston Red Sox,Tampa Bay Rays,6753,R
2021-08-30,Colorado Rockies,Texas Rangers,14990,R
2021-08-30,Baltimore Orioles,Toronto Blue Jays,14406,R
2021-08-30,New York Yankees,Los Angeles Angels,29436,R
2021-08-30,San Diego Padres,Arizona Diamondbacks,8482,R
2021-08-30,St. Louis Cardinals,Cincinnati Reds,10773,R
2021-08-30,Minnesota Twins,Detroit Tigers,13425,R
2021-08-30,Atlanta Braves,Los Angeles Dodgers,49410,R
2021-08-30,Philadelphia Phillies,Washington Nationals,17353,R
2021-08-31,Houston Astros,Seattle Mariners,10452,R
2021-08-31,Milwaukee Brewers,San Francisco Giants,20897,R
2021-08-31,Boston Red Sox,Tampa Bay Rays,6868,R
2021-08-31,Colorado Rockies,Texas Rangers,18383,R
2021-08-31,Baltimore Orioles,Toronto Blue Jays,13963,R
2021-08-31,Chicago Cubs,Minnesota Twins,22224,R
2021-08-31,Pittsburgh Pirates,Chicago White Sox,19221,R
2021-08-31,New York Yankees,Los Angeles Angels,34813,R
2021-08-31,San Diego Padres,Arizona Diamondbacks,10818,R
2021-08-31,Oakland Athletics,Detroit Tigers,13853,R
2021-08-31,Cleveland Indians,Kansas City Royals,11542,R
2021-08-31,Atlanta Braves,Los Angeles Dodgers,44952,R
2021-08-31,Philadelphia Phillies,Washington Nationals,16844,R
2021-08-31,Miami Marlins,New York Mets,18101,R
2021-09-01,Houston Astros,Seattle Mariners,10519,R
2021-09-01,Milwaukee Brewers,San Francisco Giants,21189,R
2021-09-01,Boston Red Sox,Tampa Bay Rays,7808,R
2021-09-01,Colorado Rockies,Texas Rangers,14747,R
2021-09-01,Baltimore Orioles,Toronto Blue Jays,14262,R
2021-09-01,Chicago Cubs,Minnesota Twins,21784,R
2021-09-01,Pittsburgh Pirates,Chicago White Sox,19231,R
2021-09-01,New York Yankees,Los Angeles Angels,28753,R
2021-09-01,San Diego Padres,Arizona Diamondbacks,5945,R
2021-09-01,St. Louis Cardinals,Cincinnati Reds,10892,R
2021-09-01,Oakland Athletics,Detroit Tigers,12593,R
2021-09-01,Cleveland Indians,Kansas City Royals,10516,R
2021-09-01,Atlanta Braves,Los Angeles Dodgers,47473,R
2021-09-02,Milwaukee Brewers,San Francisco Giants,21023,R
2021-09-02,Boston Red Sox,Tampa Bay Rays,7923,R
2021-09-02,Pittsburgh Pirates,Chicago Cubs,26963,R
2021-09-02,Atlanta Braves,Colorado Rockies,21481,R
2021-09-02,Oakland Athletics,Detroit Tigers,11623,R
2021-09-02,Cleveland Indians,Kansas City Royals,10042,R
2021-09-02,Philadelphia Phillies,Washington Nationals,12280,R
2021-09-02,Miami Marlins,New York Mets,23737,R
2021-09-03,Houston Astros,San Diego Padres,37033,R
2021-09-03,Los Angeles Dodgers,San Francisco Giants,39338,R
2021-09-03,Minnesota Twins,Tampa Bay Rays,8864,R
2021-09-03,Oakland Athletics,Toronto Blue Jays,14843,R
2021-09-03,Philadelphia Phillies,Miami Marlins,7073,R
2021-09-03,Baltimore Orioles,New York Yankees,34085,R
2021-09-03,St. Louis Cardinals,Milwaukee Brewers,23987,R
2021-09-03,Texas Rangers,Los Angeles Angels,19074,R
2021-09-03,Seattle Mariners,Arizona Diamondbacks,12729,R
2021-09-03,Cleveland Indians,Boston Red Sox,31127,R
2021-09-03,Pittsburgh Pirates,Chicago Cubs,24441,R
2021-09-03,Detroit Tigers,Cincinnati Reds,19430,R
2021-09-03,Atlanta Braves,Colorado Rockies,24371,R
2021-09-03,Chicago White Sox,Kansas City Royals,14210,R
2021-09-03,New York Mets,Washington Nationals,26779,R
2021-09-04,Houston Astros,San Diego Padres,35338,R
2021-09-04,Los Angeles Dodgers,San Francisco Giants,41146,R
2021-09-04,Minnesota Twins,Tampa Bay Rays,13861,R
2021-09-04,Oakland Athletics,Toronto Blue Jays,14947,R
2021-09-04,Philadelphia Phillies,Miami Marlins,9256,R
2021-09-04,Baltimore Orioles,New York Yankees,34571,R
2021-09-04,St. Louis Cardinals,Milwaukee Brewers,33439,R
2021-09-04,Texas Rangers,Los Angeles Angels,22697,R
2021-09-04,Seattle Mariners,Arizona Diamondbacks,18819,R
2021-09-04,Cleveland Indians,Boston Red Sox,33081,R
2021-09-04,Pittsburgh Pirates,Chicago Cubs,30020,R
2021-09-04,Detroit Tigers,Cincinnati Reds,26962,R
2021-09-04,Atlanta Braves,Colorado Rockies,35351,R
2021-09-04,Chicago White Sox,Kansas City Royals,18800,R
2021-09-04,New York Mets,Washington Nationals,22420,R
2021-09-05,Houston Astros,San Diego Padres,35007,R
2021-09-05,Los Angeles Dodgers,San Francisco Giants,41155,R
2021-09-05,Minnesota Twins,Tampa Bay Rays,14165,R
2021-09-05,Oakland Athletics,Toronto Blue Jays,14988,R
2021-09-05,Philadelphia Phillies,Miami Marlins,8082,R
2021-09-05,Baltimore Orioles,New York Yankees,33091,R
2021-09-05,St. Louis Cardinals,Milwaukee Brewers,33845,R
2021-09-05,Texas Rangers,Los Angeles Angels,18492,R
2021-09-05,Seattle Mariners,Arizona Diamondbacks,14408,R
2021-09-05,Cleveland Indians,Boston Red Sox,27578,R
2021-09-05,Pittsburgh Pirates,Chicago Cubs,30155,R
2021-09-05,Detroit Tigers,Cincinnati Reds,23083,R
2021-09-05,Atlanta Braves,Colorado Rockies,33957,R
2021-09-05,Chicago White Sox,Kansas City Royals,19696,R
2021-09-05,New York Mets,Washington Nationals,22162,R
2021-09-06,Detroit Tigers,Pittsburgh Pirates,11141,R
2021-09-06,Los Angeles Dodgers,St. Louis Cardinals,43575,R
2021-09-06,Toronto Blue Jays,New York Yankees,31196,R
2021-09-06,Philadelphia Phillies,Milwaukee Brewers,30192,R
2021-09-06,Texas Rangers,Los Angeles Angels,16241,R
2021-09-06,Kansas City Royals,Baltimore Orioles,11973,R
2021-09-06,Tampa Bay Rays,Boston Red Sox,26512,R
2021-09-06,Cincinnati Reds,Chicago Cubs,27289,R
2021-09-06,Minnesota Twins,Cleveland Indians,12675,R
2021-09-06,San Francisco Giants,Colorado Rockies,27967,R
2021-09-06,Seattle Mariners,Houston Astros,25802,R
2021-09-06,New York Mets,Washington Nationals,17623,R
2021-09-07,Chicago White Sox,Oakland Athletics,4556,R
2021-09-07,Detroit Tigers,Pittsburgh Pirates,8329,R
2021-09-07,Los Angeles Angels,San Diego Padres,34405,R
2021-09-07,Los Angeles Dodgers,St. Louis Cardinals,34500,R
2021-09-07,Washington Nationals,Atlanta Braves,20544,R
2021-09-07,New York Mets,Miami Marlins,5848,R
2021-09-07,Toronto Blue Jays,New York Yankees,30164,R
2021-09-07,Philadelphia Phillies,Milwaukee Brewers,22955,R
2021-09-07,Texas Rangers,Arizona Diamondbacks,8758,R
2021-09-07,Kansas City Royals,Baltimore Orioles,4981,R
2021-09-07,Tampa Bay Rays,Boston Red Sox,25065,R
2021-09-07,Cincinnati Reds,Chicago Cubs,24925,R
2021-09-07,Minnesota Twins,Cleveland Indians,10448,R
2021-09-07,San Francisco Giants,Colorado Rockies,24387,R
2021-09-07,Seattle Mariners,Houston Astros,20353,R
2021-09-08,Chicago White Sox,Oakland Athletics,8147,R
2021-09-08,Detroit Tigers,Pittsburgh Pirates,8382,R
2021-09-08,Los Angeles Angels,San Diego Padres,34537,R
2021-09-08,Los Angeles Dodgers,St. Louis Cardinals,35566,R
2021-09-08,Washington Nationals,Atlanta Braves,20074,R
2021-09-08,New York Mets,Miami Marlins,6378,R
2021-09-08,Toronto Blue Jays,New York Yankees,25873,R
2021-09-08,Philadelphia Phillies,Milwaukee Brewers,20654,R
2021-09-08,Texas Rangers,Arizona Diamondbacks,6354,R
2021-09-08,Kansas City Royals,Baltimore Orioles,4965,R
